county,active_sales_associates,inactive_sales_associates,inactive_share,active_brokers,active_broker_associates,registered_firms,branch_offices,licensed_last_12_months,largest_agent_base,as_of
"Alachua",1367,703,0.3396,374,200,232,26,168,"Gainesville",2026-09-22
"Baker",92,44,0.3235,14,6,10,2,5,"Macclenny",2026-09-22
"Bay",1838,696,0.2747,395,193,276,48,201,"Panama City Beach",2026-09-22
"Bradford",92,33,0.264,22,11,10,0,6,"Starke",2026-09-22
"Brevard",5073,2657,0.3437,1122,532,813,92,411,"Melbourne",2026-09-22
"Broward",28510,13295,0.318,4273,2234,3679,647,1828,"Fort Lauderdale",2026-09-22
"Calhoun",19,19,0.5,8,3,4,0,2,"Blountstown",2026-09-22
"Charlotte",2287,922,0.2873,389,230,258,44,204,"Punta Gorda",2026-09-22
"Citrus",1131,560,0.3312,263,153,152,15,112,"Inverness",2026-09-22
"Clay",1562,716,0.3143,286,177,198,29,144,"Orange Park",2026-09-22
"Collier",6949,3153,0.3121,957,901,681,235,528,"Naples",2026-09-22
"Columbia",241,137,0.3624,77,30,50,6,18,"Lake City",2026-09-22
"DeSoto",109,79,0.4202,31,9,19,0,7,"Arcadia",2026-09-22
"Dixie",43,28,0.3944,18,3,10,6,10,"Old Town",2026-09-22
"Duval",6617,2895,0.3044,1286,656,1003,375,679,"Jacksonville",2026-09-22
"Escambia",1647,726,0.3059,371,172,286,77,180,"Pensacola",2026-09-22
"Flagler",1592,586,0.2691,282,188,207,31,126,"Palm Coast",2026-09-22
"Franklin",110,37,0.2517,31,10,22,9,13,"Apalachicola",2026-09-22
"Gadsden",100,80,0.4444,31,9,13,0,12,"Quincy",2026-09-22
"Gilchrist",84,38,0.3115,13,5,9,6,7,"Trenton",2026-09-22
"Glades",20,21,0.5122,7,2,5,0,1,"Moore Haven",2026-09-22
"Gulf",115,52,0.3114,32,16,28,6,12,"Port St Joe",2026-09-22
"Hamilton",19,10,0.3448,10,4,5,0,3,"Jasper",2026-09-22
"Hardee",76,47,0.3821,18,0,11,9,8,"Wauchula",2026-09-22
"Hendry",147,108,0.4235,44,22,36,4,22,"Labelle",2026-09-22
"Hernando",1564,687,0.3052,222,135,168,30,144,"Spring Hill",2026-09-22
"Highlands",549,284,0.3409,142,63,103,7,35,"Sebring",2026-09-22
"Hillsborough",13065,6825,0.3431,2182,1007,1724,339,1317,"Tampa",2026-09-22
"Holmes",42,19,0.3115,12,5,9,0,8,"Bonifay",2026-09-22
"Indian River",1562,820,0.3442,401,214,240,33,114,"Vero Beach",2026-09-22
"Jackson",95,61,0.391,32,11,23,6,18,"Marianna",2026-09-22
"Jefferson",67,46,0.4071,24,10,14,1,4,"Monticello",2026-09-22
"Lafayette",17,11,0.3929,4,2,2,0,1,"Mayo",2026-09-22
"Lake",4094,2174,0.3468,792,371,570,45,357,"Clermont",2026-09-22
"Lee",10019,4975,0.3318,1690,1171,1322,186,873,"Cape Coral",2026-09-22
"Leon",1402,748,0.3479,513,187,346,46,141,"Tallahassee",2026-09-22
"Levy",174,120,0.4082,46,20,26,14,28,"Williston",2026-09-22
"Liberty",13,12,0.48,3,3,2,0,2,"Bristol",2026-09-22
"Madison",40,29,0.4203,19,5,9,0,7,"Madison",2026-09-22
"Manatee",4344,1963,0.3112,729,455,529,66,416,"Bradenton",2026-09-22
"Marion",2911,1483,0.3375,615,297,437,80,290,"Ocala",2026-09-22
"Martin",1984,981,0.3309,447,285,287,40,142,"Stuart",2026-09-22
"Miami-Dade",40323,18266,0.3118,5986,3063,5160,962,3206,"Miami",2026-09-22
"Monroe",1208,433,0.2639,245,197,194,47,92,"Key West",2026-09-22
"Nassau",804,337,0.2954,156,112,108,25,70,"Fernandina Beach",2026-09-22
"Okaloosa",1753,722,0.2917,373,198,288,78,197,"Destin",2026-09-22
"Okeechobee",175,86,0.3295,54,18,32,1,28,"Okeechobee",2026-09-22
"Orange",16814,9832,0.369,3500,1382,2873,769,1429,"Orlando",2026-09-22
"Osceola",5077,2809,0.3562,751,306,637,98,501,"Kissimmee",2026-09-22
"Palm Beach",22978,9638,0.2955,4088,2186,3057,392,1691,"Boca Raton",2026-09-22
"Pasco",5357,2514,0.3194,715,398,482,65,487,"Wesley Chapel",2026-09-22
"Pinellas",8795,4685,0.3476,2006,906,1452,254,663,"St. Petersburg",2026-09-22
"Polk",5099,2558,0.3341,758,358,568,67,572,"Lakeland",2026-09-22
"Putnam",238,137,0.3653,59,37,41,5,23,"Palatka",2026-09-22
"Santa Rosa",1506,635,0.2966,264,136,171,22,171,"Gulf Breeze",2026-09-22
"Sarasota",5927,2673,0.3108,1358,849,925,281,483,"Sarasota",2026-09-22
"Seminole",4254,2711,0.3892,1058,407,697,161,324,"Longwood",2026-09-22
"St. Johns",4272,1651,0.2787,755,529,457,66,401,"St. Augustine",2026-09-22
"St. Lucie",3773,1701,0.3107,545,331,363,30,326,"Port St. Lucie",2026-09-22
"Sumter",1125,604,0.3493,160,100,100,22,122,"The Villages",2026-09-22
"Suwannee",133,102,0.434,35,19,19,1,13,"Live Oak",2026-09-22
"Taylor",71,33,0.3173,18,6,11,1,7,"Perry",2026-09-22
"Union",40,12,0.2308,17,2,11,4,9,"Lake Butler",2026-09-22
"Volusia",4816,2471,0.3391,1051,554,685,133,371,"Ormond Beach",2026-09-22
"Wakulla",210,99,0.3204,57,28,44,5,29,"Crawfordville",2026-09-22
"Walton",1837,617,0.2514,327,215,251,49,172,"Santa Rosa Beach",2026-09-22
"Washington",91,46,0.3358,19,13,13,2,8,"Chipley",2026-09-22
